Combination,Firmicutes_1-68,Bacteroidetes_5-7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Actinobacteria_Atopobium,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Bacteroidetes_Butyricimonas,Proteobacteria_Campylobacter,Firmicutes_Catenibacterium,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Proteobacteria_Enhydrobacter,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Fusobacteria_Fusobacterium,Proteobacteria_Haemophilus,Firmicutes_Holdemania,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Fusobacteria_Leptotrichia,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Moryella,Deferribacteres_Mucispirillum,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptococcus,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_rc4-4,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Firmicutes_Schwartzia,Firmicutes_Selenomonas,Actinobacteria_Slackia,Proteobacteria_Sphingomonas,Firmicutes_Streptococcus,Proteobacteria_Succinivibrio,Proteobacteria_Sutterella,Synergistetes_TG5,Firmicutes_Turicibacter,Firmicutes_Veillonella
11,0,0,0,0,0,3.2441,0,3.2441,7.6752,0,0,3.2441,3.2441,0,115.9609,8.5134,0,35.7757,14.9272,3.2441,0,0,26.536,0,0,0,7.4099,0,0,0,7.7338,7.9679,19.2278,3.2441,0,4.7238,0,0,0,17.3721,22.163,4.1658,6.4882,3.2441,0,0,9.4476,3.2441,0,0,4.1658,0,0,6.7966,20.17,0,62.3931,3.2441,0,0,4.1658,23.9724,0,34.2145,0,3.2441,0,5.1251,0,3.2441,0,31.3794,0,6.4882,3.2441,7.8443,16.8472,3.2441,4.7238,0,3.2441,39.5426
12,0,0,0,5.846,0,2.419,0,0,7.5872,0,0,16.676,0,0,114.3278,22.0684,11.795,46.9211,0,2.419,0,0,23.8139,8.5998,0,0,6.5947,0,0,0,3.2773,8.0128,26.1108,4.201,0,0,0,0,4.201,8.6461,11.399,0,31.839,2.419,0,4.838,9.2868,5.6963,0,0,0,0,3.2773,9.773,38.6341,0,19.0753,2.419,0,0,0,21.0191,2.419,36.3428,0,0,0,0,0,21.4221,0,53.4922,0,3.2773,0,0,14.6787,0,21.5706,2.419,0,25.8547
13,0,0,0,3.1075,0,2.2659,5.4231,0,10.4253,1.5384,0,7.3022,2.2659,0,175.4494,17.451,11.012,35.8364,31.4943,1.5384,0,2.7472,7.9766,8.7658,0,0,15.7248,0,0,0,1.5384,15.1471,21.9042,3.1075,0,0,0,0,0,1.5384,3.6356,1.5384,10.1316,2.2659,0,0,22.7238,35.6002,0,0,0,0,0,10.176,74.8236,8.511,68.3543,1.5384,0,0,1.5384,14.4824,0,28.4018,0,0,0,0,0,4.4563,1.5384,63.5003,0,0,0,0,10.8028,0,29.3673,0,0,14.278
14,0,0,0,0,0,0,2.3548,2.3548,4.8976,0,0,17.7804,0,0,160.3112,0,7.2981,22.7791,7.7523,0,0,2.3548,17.6252,9.8434,0,0,21.6923,0,0,0,9.1096,0,21.0383,0,0,0,0,0,4.6832,0,11.0351,2.3548,14.0107,0,0,0,12.176,2.3548,0,0,0,0,0,6.8608,42.0071,3.7383,60.6185,0,0,0,0,15.242,0,71.3255,0,0,0,0,0,12.006,0,48.1763,0,7.916,0,0,7.6378,2.3548,18.7066,0,3.2064,19.734
15,0,0,0,0,0,0,1.5366,0,11.441,0,0,4.4537,3.1051,1.5366,79.1505,1.5366,8.1021,27.3912,28.8743,0,0,0,8.8473,6.7477,0,0,21.4327,2.2637,19.1282,0,19.2281,13.718,20.0296,0,0,0,0,0,7.4111,8.9151,7.9661,0,21.4593,0,1.5366,0,1.5366,0,0,0,0,0,0,8.6379,66.6778,4.7874,45.236,0,0,0,0,13.458,0,160.3056,0,0,0,2.2637,2.2637,9.2147,1.5366,57.3029,1.5366,0,0,0,8.8632,2.2637,30.3453,0,4.3228,21.3049
16,0,0,0,0,0,1.9978,4.2452,3.9973,5.6119,0,0,7.798,1.9978,0,160.4054,19.1163,11.262,32.2794,18.1501,0,0,3.3193,15.4669,8.6836,5.9279,0,17.291,0,3.9956,0,14.5959,12.227,20.8352,0,0,0,0,0,0,1.9978,12.7018,0,11.0956,1.9978,1.9978,0,3.3193,0,0,13.2158,0,0,0,17.7586,48.8828,6.9513,39.413,0,0,0,0,16.7379,0,28.7465,0,0,0,0,0,7.0846,0,55.8626,0,1.9978,0,0,13.6446,2.8049,25.854,0,0,27.8141
17,0,0,2.6925,3.5764,0,0,0,0,8.5831,0,0,13.1264,3.5764,0,141.3881,6.2689,10.417,31.4642,0,7.5164,0,0,10.117,2.6925,0,6.553,4.8239,0,0,0,7.5164,0,33.77,2.6925,0,0,0,0,0,26.6112,9.6218,0,16.2217,0,0,0,3.5764,0,0,0,0,0,0,2.6925,17.8858,0,33.7572,0,0,0,0,10.8891,0,58.9303,0,3.5764,0,5.649,0,9.2338,0,38.3932,3.5764,10.982,0,0,10.7572,0,8.2621,0,5.2947,22.5024
18,0,0,0,0,0,4.4485,0,2.9899,6.1384,0,0,8.26,4.4485,0,118.5353,0,4.8469,32.8155,5.415,0,0,0,9.3373,0,0,0,2.9899,0,0,0,2.9899,3.8962,19.5819,3.8962,0,0,0,0,0,15.7259,20.5684,0,16.9647,0,0,0,0,0,0,0,0,2.9899,0,4.4485,16.9345,2.9899,34.6258,0,0,0,0,8.1486,0,30.9071,0,0,0,0,0,11.235,0,37.0171,0,5.9798,0,0,30.2136,2.9899,16.126,0,5.415,32.9344
19,0,0,0,0,0,2.2724,2.2724,0,12.762,0,0,18.5129,3.1148,0,202.4301,0,9.8523,27.8383,16.9985,0,4.3332,2.2724,9.2622,2.2724,0,0,23.8893,0,6.758,0,3.1148,0,20.5248,2.2724,0,0,0,0,0,4.0291,11.2477,0,21.0322,0,0,0,2.2724,3.6432,0,0,0,0,0,7.7519,75.7452,6.9496,39.2677,0,0,0,0,27.0009,0,35.1751,0,0,0,0,0,11.804,0,71.6816,0,0,0,0,10.8183,0,19.999,0,6.9936,7.4058
20,0,0,0,0,0,0,0,6.3542,6.6726,0,0,0,0,0,152.3108,4.4061,0,11.56,12.7705,0,0,0,11.3388,0,0,0,0,0,0,3.4726,0,8.4408,9.447,3.4726,0,0,0,0,0,22.495,13.2701,0,0,3.4726,0,0,4.9682,3.4726,0,0,0,0,0,3.4726,19.4416,0,40.1645,0,0,0,0,24.9542,0,26.2825,0,4.4061,0,4.4061,0,0,0,45.723,0,8.4408,0,0,10.3399,0,14.7526,0,0,27.1191
21,0,0,0,9.1668,0,0,0,0,5.3918,0,0,9.6417,4.1205,0,142.8049,9.1461,8.5414,19.8273,22.7181,0,0,1.9,17.0733,7.1328,0,3.8739,6.3745,0,0,0,1.9,17.0899,11.8863,3.5764,0,0,0,0,0,11.3408,6.5104,2.6925,17.2346,0,0,0,2.6925,25.2274,0,12.356,0,3.2011,0,10.967,38.9768,0,40.122,3.8739,0,0,0,16.365,0,21.2697,0,0,0,0,0,10.628,1.9,47.2856,0,0,0,0,6.231,0,26.7307,0,0,13.9616
